	a	b	c	d
0	0.22055444165252913	0.5791630285658383	0.3774523122106831	0.21411867795014738
1	0.4965962118920779	0.37758118726389434	0.7469850912430057	0.3639175484833794
2	0.2732898167263248	0.5962672352658308	0.08690830786033976	0.3539705987265037
3	0.6932189705014868	0.811462569105325	0.15586849186924878	0.8160256245231223
4	0.8901310375171418	0.09956291888738267	0.41184236590298473	0.34490200707938345
5	0.15994354514004816	0.6239652369075491	0.38312396385142333	0.549003293481955
6	0.7088140664960041	0.30640402178746795	0.6049586032510811	0.7159543629954608
7	0.2818638723036946	0.21062484011729976	0.13927682125797325	0.2620645834870501
8	0.5327772696894513	0.12233668448256274	0.25542740523317065	0.7813520665164648
9	0.1031011133642632	0.4640283005473752	0.5243589445398688	0.8722457504189113
